,Site,Species,ReadingDateTime,Value,Units,Year,Month
365,CT3,NO2,2007-01-01,37.0,ug m-3,2007,1
366,CT3,NO2,2007-02-01,56.2,ug m-3,2007,2
367,CT3,NO2,2007-03-01,49.8,ug m-3,2007,3
368,CT3,NO2,2007-04-01,59.1,ug m-3,2007,4
369,CT3,NO2,2007-05-01,57.1,ug m-3,2007,5
370,CT3,NO2,2007-06-01,64.7,ug m-3,2007,6
371,CT3,NO2,2007-07-01,26.6,ug m-3,2007,7
372,CT3,NO2,2007-08-01,46.7,ug m-3,2007,8
373,CT3,NO2,2007-09-01,30.2,ug m-3,2007,9
374,CT3,NO2,2007-10-01,49.8,ug m-3,2007,10
375,CT3,NO2,2007-11-01,46.4,ug m-3,2007,11
376,CT3,NO2,2007-12-01,44.9,ug m-3,2007,12
377,CT3,NO2,2007-01-13,32.6,ug m-3,2007,1
378,CT3,NO2,2007-01-14,48.4,ug m-3,2007,1
379,CT3,NO2,2007-01-15,55.6,ug m-3,2007,1
380,CT3,NO2,2007-01-16,46.4,ug m-3,2007,1
381,CT3,NO2,2007-01-17,48.4,ug m-3,2007,1
382,CT3,NO2,2007-01-18,42.9,ug m-3,2007,1
383,CT3,NO2,2007-01-19,52.9,ug m-3,2007,1
384,CT3,NO2,2007-01-20,29.7,ug m-3,2007,1
385,CT3,NO2,2007-01-21,32.3,ug m-3,2007,1
386,CT3,NO2,2007-01-22,55.9,ug m-3,2007,1
387,CT3,NO2,2007-01-23,53.4,ug m-3,2007,1
388,CT3,NO2,2007-01-24,74.7,ug m-3,2007,1
389,CT3,NO2,2007-01-25,72.0,ug m-3,2007,1
390,CT3,NO2,2007-01-26,81.3,ug m-3,2007,1
391,CT3,NO2,2007-01-27,62.0,ug m-3,2007,1
392,CT3,NO2,2007-01-28,51.8,ug m-3,2007,1
393,CT3,NO2,2007-01-29,64.8,ug m-3,2007,1
394,CT3,NO2,2007-01-30,77.8,ug m-3,2007,1
395,CT3,NO2,2007-01-31,74.3,ug m-3,2007,1
396,CT3,NO2,2007-01-02,85.7,ug m-3,2007,1
397,CT3,NO2,2007-02-02,70.3,ug m-3,2007,2
398,CT3,NO2,2007-03-02,81.6,ug m-3,2007,3
399,CT3,NO2,2007-04-02,72.5,ug m-3,2007,4
400,CT3,NO2,2007-05-02,68.8,ug m-3,2007,5
401,CT3,NO2,2007-06-02,82.3,ug m-3,2007,6
402,CT3,NO2,2007-07-02,123.0,ug m-3,2007,7
403,CT3,NO2,2007-08-02,76.3,ug m-3,2007,8
404,CT3,NO2,2007-09-02,70.1,ug m-3,2007,9
405,CT3,NO2,2007-10-02,66.4,ug m-3,2007,10
406,CT3,NO2,2007-11-02,39.3,ug m-3,2007,11
407,CT3,NO2,2007-12-02,59.8,ug m-3,2007,12
408,CT3,NO2,2007-02-13,61.6,ug m-3,2007,2
409,CT3,NO2,2007-02-14,67.8,ug m-3,2007,2
410,CT3,NO2,2007-02-15,69.8,ug m-3,2007,2
411,CT3,NO2,2007-02-16,70.4,ug m-3,2007,2
412,CT3,NO2,2007-02-17,59.3,ug m-3,2007,2
413,CT3,NO2,2007-02-18,50.4,ug m-3,2007,2
414,CT3,NO2,2007-02-19,57.0,ug m-3,2007,2
415,CT3,NO2,2007-02-20,65.9,ug m-3,2007,2
416,CT3,NO2,2007-02-21,67.2,ug m-3,2007,2
417,CT3,NO2,2007-02-22,63.9,ug m-3,2007,2
418,CT3,NO2,2007-02-23,62.6,ug m-3,2007,2
419,CT3,NO2,2007-02-24,57.5,ug m-3,2007,2
420,CT3,NO2,2007-02-25,44.3,ug m-3,2007,2
421,CT3,NO2,2007-02-26,58.0,ug m-3,2007,2
422,CT3,NO2,2007-02-27,65.3,ug m-3,2007,2
423,CT3,NO2,2007-02-28,47.7,ug m-3,2007,2
424,CT3,NO2,2007-01-03,62.6,ug m-3,2007,1
425,CT3,NO2,2007-02-03,64.6,ug m-3,2007,2
426,CT3,NO2,2007-03-03,57.1,ug m-3,2007,3
427,CT3,NO2,2007-04-03,47.4,ug m-3,2007,4
428,CT3,NO2,2007-05-03,39.4,ug m-3,2007,5
429,CT3,NO2,2007-06-03,50.9,ug m-3,2007,6
430,CT3,NO2,2007-07-03,70.2,ug m-3,2007,7
