,Site,Species,ReadingDateTime,Value,Units,Year,Month
365,CT3,PM10,2007-01-01,4.0,ug/m3,2007,1
366,CT3,PM10,2007-02-01,6.0,ug/m3,2007,2
370,CT3,PM10,2007-06-01,8.0,ug/m3,2007,6
371,CT3,PM10,2007-07-01,8.0,ug/m3,2007,7
372,CT3,PM10,2007-08-01,4.0,ug/m3,2007,8
373,CT3,PM10,2007-09-01,17.0,ug/m3,2007,9
374,CT3,PM10,2007-10-01,10.0,ug/m3,2007,10
375,CT3,PM10,2007-11-01,15.0,ug/m3,2007,11
376,CT3,PM10,2007-12-01,15.0,ug/m3,2007,12
377,CT3,PM10,2007-01-13,1.0,ug/m3,2007,1
378,CT3,PM10,2007-01-14,6.0,ug/m3,2007,1
379,CT3,PM10,2007-01-15,10.0,ug/m3,2007,1
380,CT3,PM10,2007-01-16,11.0,ug/m3,2007,1
381,CT3,PM10,2007-01-17,9.0,ug/m3,2007,1
382,CT3,PM10,2007-01-18,14.0,ug/m3,2007,1
383,CT3,PM10,2007-01-19,10.0,ug/m3,2007,1
384,CT3,PM10,2007-01-20,7.0,ug/m3,2007,1
385,CT3,PM10,2007-01-21,3.0,ug/m3,2007,1
386,CT3,PM10,2007-01-22,11.0,ug/m3,2007,1
387,CT3,PM10,2007-01-23,9.0,ug/m3,2007,1
388,CT3,PM10,2007-01-24,16.0,ug/m3,2007,1
389,CT3,PM10,2007-01-25,21.0,ug/m3,2007,1
390,CT3,PM10,2007-01-26,19.0,ug/m3,2007,1
391,CT3,PM10,2007-01-27,13.0,ug/m3,2007,1
392,CT3,PM10,2007-01-28,2.0,ug/m3,2007,1
393,CT3,PM10,2007-01-29,23.0,ug/m3,2007,1
394,CT3,PM10,2007-01-30,30.0,ug/m3,2007,1
395,CT3,PM10,2007-01-31,16.0,ug/m3,2007,1
396,CT3,PM10,2007-01-02,21.0,ug/m3,2007,1
397,CT3,PM10,2007-02-02,24.0,ug/m3,2007,2
398,CT3,PM10,2007-03-02,21.0,ug/m3,2007,3
399,CT3,PM10,2007-04-02,31.0,ug/m3,2007,4
400,CT3,PM10,2007-05-02,33.0,ug/m3,2007,5
401,CT3,PM10,2007-06-02,27.0,ug/m3,2007,6
402,CT3,PM10,2007-07-02,46.0,ug/m3,2007,7
403,CT3,PM10,2007-08-02,15.0,ug/m3,2007,8
404,CT3,PM10,2007-09-02,21.0,ug/m3,2007,9
405,CT3,PM10,2007-10-02,10.0,ug/m3,2007,10
406,CT3,PM10,2007-11-02,9.0,ug/m3,2007,11
407,CT3,PM10,2007-12-02,8.0,ug/m3,2007,12
408,CT3,PM10,2007-02-13,14.0,ug/m3,2007,2
409,CT3,PM10,2007-02-14,11.0,ug/m3,2007,2
410,CT3,PM10,2007-02-15,18.0,ug/m3,2007,2
411,CT3,PM10,2007-02-16,18.0,ug/m3,2007,2
412,CT3,PM10,2007-02-17,27.0,ug/m3,2007,2
413,CT3,PM10,2007-02-18,13.0,ug/m3,2007,2
414,CT3,PM10,2007-02-19,30.0,ug/m3,2007,2
415,CT3,PM10,2007-02-20,19.0,ug/m3,2007,2
416,CT3,PM10,2007-02-21,15.0,ug/m3,2007,2
417,CT3,PM10,2007-02-22,13.0,ug/m3,2007,2
418,CT3,PM10,2007-02-23,16.0,ug/m3,2007,2
419,CT3,PM10,2007-02-24,11.0,ug/m3,2007,2
420,CT3,PM10,2007-02-25,3.0,ug/m3,2007,2
421,CT3,PM10,2007-02-26,7.0,ug/m3,2007,2
422,CT3,PM10,2007-02-27,8.0,ug/m3,2007,2
423,CT3,PM10,2007-02-28,12.0,ug/m3,2007,2
424,CT3,PM10,2007-01-03,10.0,ug/m3,2007,1
425,CT3,PM10,2007-02-03,9.0,ug/m3,2007,2
426,CT3,PM10,2007-03-03,3.0,ug/m3,2007,3
427,CT3,PM10,2007-04-03,5.0,ug/m3,2007,4
428,CT3,PM10,2007-05-03,9.0,ug/m3,2007,5
429,CT3,PM10,2007-06-03,11.0,ug/m3,2007,6
430,CT3,PM10,2007-07-03,11.0,ug/m3,2007,7
431,CT3,PM10,2007-08-03,20.0,ug/m3,2007,8
432,CT3,PM10,2007-09-03,14.0,ug/m3,2007,9
437,CT3,PM10,2007-03-14,20.0,ug/m3,2007,3
438,CT3,PM10,2007-03-15,18.0,ug/m3,2007,3
439,CT3,PM10,2007-03-16,17.0,ug/m3,2007,3
440,CT3,PM10,2007-03-17,13.0,ug/m3,2007,3
441,CT3,PM10,2007-03-18,1.0,ug/m3,2007,3
442,CT3,PM10,2007-03-19,6.0,ug/m3,2007,3
443,CT3,PM10,2007-03-20,8.0,ug/m3,2007,3
444,CT3,PM10,2007-03-21,12.0,ug/m3,2007,3
445,CT3,PM10,2007-03-22,19.0,ug/m3,2007,3
446,CT3,PM10,2007-03-23,20.0,ug/m3,2007,3
447,CT3,PM10,2007-03-24,29.0,ug/m3,2007,3
448,CT3,PM10,2007-03-25,61.0,ug/m3,2007,3
449,CT3,PM10,2007-03-26,53.0,ug/m3,2007,3
450,CT3,PM10,2007-03-27,81.0,ug/m3,2007,3
451,CT3,PM10,2007-03-28,88.0,ug/m3,2007,3
452,CT3,PM10,2007-03-29,46.0,ug/m3,2007,3
453,CT3,PM10,2007-03-30,70.0,ug/m3,2007,3
454,CT3,PM10,2007-03-31,55.0,ug/m3,2007,3
456,CT3,PM10,2007-02-04,57.0,ug/m3,2007,2
457,CT3,PM10,2007-03-04,19.0,ug/m3,2007,3
458,CT3,PM10,2007-04-04,19.0,ug/m3,2007,4
459,CT3,PM10,2007-05-04,29.0,ug/m3,2007,5
460,CT3,PM10,2007-06-04,19.0,ug/m3,2007,6
461,CT3,PM10,2007-07-04,22.0,ug/m3,2007,7
462,CT3,PM10,2007-08-04,20.0,ug/m3,2007,8
463,CT3,PM10,2007-09-04,18.0,ug/m3,2007,9
464,CT3,PM10,2007-10-04,12.0,ug/m3,2007,10
466,CT3,PM10,2007-12-04,63.0,ug/m3,2007,12
467,CT3,PM10,2007-04-13,58.0,ug/m3,2007,4
468,CT3,PM10,2007-04-14,51.0,ug/m3,2007,4
469,CT3,PM10,2007-04-15,48.0,ug/m3,2007,4
470,CT3,PM10,2007-04-16,69.0,ug/m3,2007,4
471,CT3,PM10,2007-04-17,37.0,ug/m3,2007,4
472,CT3,PM10,2007-04-18,21.0,ug/m3,2007,4
473,CT3,PM10,2007-04-19,31.0,ug/m3,2007,4
474,CT3,PM10,2007-04-20,33.0,ug/m3,2007,4
475,CT3,PM10,2007-04-21,27.0,ug/m3,2007,4
476,CT3,PM10,2007-04-22,34.0,ug/m3,2007,4
477,CT3,PM10,2007-04-23,31.0,ug/m3,2007,4
478,CT3,PM10,2007-04-24,37.0,ug/m3,2007,4
480,CT3,PM10,2007-04-26,23.0,ug/m3,2007,4
481,CT3,PM10,2007-04-27,41.0,ug/m3,2007,4
482,CT3,PM10,2007-04-28,22.0,ug/m3,2007,4
