,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Year,Month
0,CT3,NO2,2006-01-01,37.4,ug m-3,R,2006,1
1,CT3,NO2,2006-02-01,39.8,ug m-3,R,2006,2
2,CT3,NO2,2006-03-01,57.5,ug m-3,R,2006,3
3,CT3,NO2,2006-04-01,51.0,ug m-3,R,2006,4
4,CT3,NO2,2006-05-01,50.7,ug m-3,R,2006,5
5,CT3,NO2,2006-06-01,50.0,ug m-3,R,2006,6
6,CT3,NO2,2006-07-01,46.1,ug m-3,R,2006,7
7,CT3,NO2,2006-08-01,41.8,ug m-3,R,2006,8
8,CT3,NO2,2006-09-01,48.9,ug m-3,R,2006,9
9,CT3,NO2,2006-10-01,31.0,ug m-3,R,2006,10
10,CT3,NO2,2006-11-01,61.3,ug m-3,R,2006,11
11,CT3,NO2,2006-12-01,69.5,ug m-3,R,2006,12
12,CT3,NO2,2006-01-13,46.5,ug m-3,R,2006,1
13,CT3,NO2,2006-01-14,38.4,ug m-3,R,2006,1
14,CT3,NO2,2006-01-15,33.2,ug m-3,R,2006,1
15,CT3,NO2,2006-01-16,49.2,ug m-3,R,2006,1
16,CT3,NO2,2006-01-17,51.9,ug m-3,R,2006,1
17,CT3,NO2,2006-01-18,66.5,ug m-3,R,2006,1
18,CT3,NO2,2006-01-19,45.9,ug m-3,R,2006,1
19,CT3,NO2,2006-01-20,53.5,ug m-3,R,2006,1
20,CT3,NO2,2006-01-21,60.2,ug m-3,R,2006,1
21,CT3,NO2,2006-01-22,57.3,ug m-3,R,2006,1
22,CT3,NO2,2006-01-23,51.8,ug m-3,R,2006,1
23,CT3,NO2,2006-01-24,91.4,ug m-3,R,2006,1
24,CT3,NO2,2006-01-25,65.9,ug m-3,R,2006,1
25,CT3,NO2,2006-01-26,49.7,ug m-3,R,2006,1
26,CT3,NO2,2006-01-27,50.2,ug m-3,R,2006,1
27,CT3,NO2,2006-01-28,51.4,ug m-3,R,2006,1
28,CT3,NO2,2006-01-29,39.2,ug m-3,R,2006,1
29,CT3,NO2,2006-01-30,48.6,ug m-3,R,2006,1
30,CT3,NO2,2006-01-31,59.0,ug m-3,R,2006,1
31,CT3,NO2,2006-01-02,87.3,ug m-3,R,2006,1
32,CT3,NO2,2006-02-02,81.7,ug m-3,R,2006,2
33,CT3,NO2,2006-03-02,70.9,ug m-3,R,2006,3
34,CT3,NO2,2006-04-02,65.4,ug m-3,R,2006,4
35,CT3,NO2,2006-05-02,71.1,ug m-3,R,2006,5
36,CT3,NO2,2006-06-02,61.3,ug m-3,R,2006,6
37,CT3,NO2,2006-07-02,63.0,ug m-3,R,2006,7
38,CT3,NO2,2006-08-02,59.0,ug m-3,R,2006,8
39,CT3,NO2,2006-09-02,62.2,ug m-3,R,2006,9
40,CT3,NO2,2006-10-02,71.1,ug m-3,R,2006,10
41,CT3,NO2,2006-11-02,87.8,ug m-3,R,2006,11
42,CT3,NO2,2006-12-02,55.6,ug m-3,R,2006,12
43,CT3,NO2,2006-02-13,67.0,ug m-3,R,2006,2
44,CT3,NO2,2006-02-14,49.2,ug m-3,R,2006,2
45,CT3,NO2,2006-02-15,47.5,ug m-3,R,2006,2
46,CT3,NO2,2006-02-16,,ug m-3,R,2006,2
47,CT3,NO2,2006-02-17,,ug m-3,R,2006,2
48,CT3,NO2,2006-02-18,79.7,ug m-3,R,2006,2
49,CT3,NO2,2006-02-19,56.8,ug m-3,R,2006,2
50,CT3,NO2,2006-02-20,49.2,ug m-3,R,2006,2
51,CT3,NO2,2006-02-21,53.4,ug m-3,R,2006,2
