Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,PM10,01/01/2006 00:00,7.00000,ug/m3,R
CT3,PM10,02/01/2006 00:00,14.00000,ug/m3,R
CT3,PM10,03/01/2006 00:00,19.00000,ug/m3,R
CT3,PM10,04/01/2006 00:00,18.00000,ug/m3,R
CT3,PM10,05/01/2006 00:00,20.00000,ug/m3,R
CT3,PM10,06/01/2006 00:00,28.00000,ug/m3,R
CT3,PM10,07/01/2006 00:00,33.00000,ug/m3,R
CT3,PM10,08/01/2006 00:00,34.00000,ug/m3,R
CT3,PM10,09/01/2006 00:00,36.00000,ug/m3,R
CT3,PM10,10/01/2006 00:00,21.00000,ug/m3,R
CT3,PM10,11/01/2006 00:00,20.00000,ug/m3,R
CT3,PM10,12/01/2006 00:00,25.00000,ug/m3,R
CT3,PM10,13/01/2006 00:00,20.00000,ug/m3,R
CT3,PM10,14/01/2006 00:00,31.00000,ug/m3,R
CT3,PM10,15/01/2006 00:00,28.00000,ug/m3,R
CT3,PM10,16/01/2006 00:00,22.00000,ug/m3,R
CT3,PM10,17/01/2006 00:00,14.00000,ug/m3,R
CT3,PM10,18/01/2006 00:00,15.00000,ug/m3,R
CT3,PM10,19/01/2006 00:00,19.00000,ug/m3,R
CT3,PM10,20/01/2006 00:00,14.00000,ug/m3,R
CT3,PM10,21/01/2006 00:00,16.00000,ug/m3,R
CT3,PM10,22/01/2006 00:00,22.00000,ug/m3,R
CT3,PM10,23/01/2006 00:00,43.00000,ug/m3,R
CT3,PM10,24/01/2006 00:00,58.00000,ug/m3,R
CT3,PM10,25/01/2006 00:00,39.00000,ug/m3,R
CT3,PM10,26/01/2006 00:00,21.00000,ug/m3,R
CT3,PM10,27/01/2006 00:00,16.00000,ug/m3,R
CT3,PM10,28/01/2006 00:00,38.00000,ug/m3,R
CT3,PM10,29/01/2006 00:00,19.00000,ug/m3,R
CT3,PM10,30/01/2006 00:00,18.00000,ug/m3,R
CT3,PM10,31/01/2006 00:00,24.00000,ug/m3,R
CT3,PM10,01/02/2006 00:00,53.00000,ug/m3,R
CT3,PM10,02/02/2006 00:00,40.00000,ug/m3,R
CT3,PM10,03/02/2006 00:00,50.00000,ug/m3,R
CT3,PM10,04/02/2006 00:00,38.00000,ug/m3,R
CT3,PM10,05/02/2006 00:00,41.00000,ug/m3,R
CT3,PM10,06/02/2006 00:00,35.00000,ug/m3,R
CT3,PM10,07/02/2006 00:00,21.00000,ug/m3,R
CT3,PM10,08/02/2006 00:00,12.00000,ug/m3,R
CT3,PM10,09/02/2006 00:00,14.00000,ug/m3,R
CT3,PM10,10/02/2006 00:00,17.00000,ug/m3,R
CT3,PM10,11/02/2006 00:00,31.00000,ug/m3,R
CT3,PM10,12/02/2006 00:00,15.00000,ug/m3,R
CT3,PM10,13/02/2006 00:00,25.00000,ug/m3,R
CT3,PM10,14/02/2006 00:00,27.00000,ug/m3,R
CT3,PM10,15/02/2006 00:00,17.00000,ug/m3,R
CT3,PM10,16/02/2006 00:00,,ug/m3,R
CT3,PM10,17/02/2006 00:00,,ug/m3,R
CT3,PM10,18/02/2006 00:00,,ug/m3,R
CT3,PM10,19/02/2006 00:00,,ug/m3,R
CT3,PM10,20/02/2006 00:00,,ug/m3,R
CT3,PM10,21/02/2006 00:00,,ug/m3,R
CT3,PM10,22/02/2006 00:00,,ug/m3,R
CT3,PM10,23/02/2006 00:00,,ug/m3,R
CT3,PM10,24/02/2006 00:00,,ug/m3,R
CT3,PM10,25/02/2006 00:00,,ug/m3,R
CT3,PM10,26/02/2006 00:00,,ug/m3,R
CT3,PM10,27/02/2006 00:00,,ug/m3,R
CT3,PM10,28/02/2006 00:00,,ug/m3,R
CT3,PM10,01/03/2006 00:00,,ug/m3,R
CT3,PM10,02/03/2006 00:00,,ug/m3,R
CT3,PM10,03/03/2006 00:00,,ug/m3,R
CT3,PM10,04/03/2006 00:00,19.00000,ug/m3,R
CT3,PM10,05/03/2006 00:00,8.00000,ug/m3,R
CT3,PM10,06/03/2006 00:00,15.00000,ug/m3,R
CT3,PM10,07/03/2006 00:00,20.00000,ug/m3,R
CT3,PM10,08/03/2006 00:00,15.00000,ug/m3,R
CT3,PM10,09/03/2006 00:00,15.00000,ug/m3,R
CT3,PM10,10/03/2006 00:00,14.00000,ug/m3,R
CT3,PM10,11/03/2006 00:00,15.00000,ug/m3,R
CT3,PM10,12/03/2006 00:00,12.00000,ug/m3,R
CT3,PM10,13/03/2006 00:00,19.00000,ug/m3,R
CT3,PM10,14/03/2006 00:00,34.00000,ug/m3,R
CT3,PM10,15/03/2006 00:00,48.00000,ug/m3,R
CT3,PM10,16/03/2006 00:00,30.00000,ug/m3,R
CT3,PM10,17/03/2006 00:00,,ug/m3,R
CT3,PM10,18/03/2006 00:00,,ug/m3,R
CT3,PM10,19/03/2006 00:00,,ug/m3,R
CT3,PM10,20/03/2006 00:00,,ug/m3,R
CT3,PM10,21/03/2006 00:00,10.00000,ug/m3,R
CT3,PM10,22/03/2006 00:00,10.00000,ug/m3,R
CT3,PM10,23/03/2006 00:00,33.00000,ug/m3,R
CT3,PM10,24/03/2006 00:00,25.00000,ug/m3,R
CT3,PM10,25/03/2006 00:00,13.00000,ug/m3,R
CT3,PM10,26/03/2006 00:00,8.00000,ug/m3,R
CT3,PM10,27/03/2006 00:00,13.00000,ug/m3,R
CT3,PM10,28/03/2006 00:00,11.00000,ug/m3,R
CT3,PM10,29/03/2006 00:00,13.00000,ug/m3,R
CT3,PM10,30/03/2006 00:00,16.00000,ug/m3,R
CT3,PM10,31/03/2006 00:00,20.00000,ug/m3,R
CT3,PM10,01/04/2006 00:00,8.00000,ug/m3,R
CT3,PM10,02/04/2006 00:00,3.00000,ug/m3,R
CT3,PM10,03/04/2006 00:00,6.00000,ug/m3,R
CT3,PM10,04/04/2006 00:00,7.00000,ug/m3,R
CT3,PM10,05/04/2006 00:00,6.00000,ug/m3,R
CT3,PM10,06/04/2006 00:00,7.00000,ug/m3,R
CT3,PM10,07/04/2006 00:00,8.00000,ug/m3,R
CT3,PM10,08/04/2006 00:00,1.00000,ug/m3,R
CT3,PM10,09/04/2006 00:00,-1.00000,ug/m3,R
CT3,PM10,10/04/2006 00:00,6.00000,ug/m3,R
CT3,PM10,11/04/2006 00:00,8.00000,ug/m3,R
CT3,PM10,12/04/2006 00:00,8.00000,ug/m3,R
CT3,PM10,13/04/2006 00:00,10.00000,ug/m3,R
CT3,PM10,14/04/2006 00:00,7.00000,ug/m3,R
CT3,PM10,15/04/2006 00:00,32.00000,ug/m3,R
CT3,PM10,16/04/2006 00:00,17.00000,ug/m3,R
CT3,PM10,17/04/2006 00:00,3.00000,ug/m3,R
CT3,PM10,18/04/2006 00:00,12.00000,ug/m3,R
CT3,PM10,19/04/2006 00:00,11.00000,ug/m3,R
CT3,PM10,20/04/2006 00:00,9.00000,ug/m3,R
CT3,PM10,21/04/2006 00:00,25.00000,ug/m3,R
CT3,PM10,22/04/2006 00:00,14.00000,ug/m3,R
CT3,PM10,23/04/2006 00:00,19.00000,ug/m3,R
CT3,PM10,24/04/2006 00:00,41.00000,ug/m3,R
CT3,PM10,25/04/2006 00:00,34.00000,ug/m3,R
CT3,PM10,26/04/2006 00:00,16.00000,ug/m3,R
CT3,PM10,27/04/2006 00:00,19.00000,ug/m3,R
CT3,PM10,28/04/2006 00:00,17.00000,ug/m3,R
CT3,PM10,29/04/2006 00:00,5.00000,ug/m3,R
CT3,PM10,30/04/2006 00:00,10.00000,ug/m3,R
CT3,PM10,01/05/2006 00:00,3.00000,ug/m3,R
CT3,PM10,02/05/2006 00:00,9.00000,ug/m3,R
CT3,PM10,03/05/2006 00:00,12.00000,ug/m3,R
CT3,PM10,04/05/2006 00:00,41.00000,ug/m3,R
CT3,PM10,05/05/2006 00:00,15.00000,ug/m3,R
CT3,PM10,06/05/2006 00:00,11.00000,ug/m3,R
CT3,PM10,07/05/2006 00:00,14.00000,ug/m3,R
CT3,PM10,08/05/2006 00:00,29.00000,ug/m3,R
CT3,PM10,09/05/2006 00:00,29.00000,ug/m3,R
CT3,PM10,10/05/2006 00:00,35.00000,ug/m3,R
CT3,PM10,11/05/2006 00:00,23.00000,ug/m3,R
CT3,PM10,12/05/2006 00:00,37.00000,ug/m3,R
CT3,PM10,13/05/2006 00:00,24.00000,ug/m3,R
CT3,PM10,14/05/2006 00:00,18.00000,ug/m3,R
CT3,PM10,15/05/2006 00:00,22.00000,ug/m3,R
CT3,PM10,16/05/2006 00:00,9.00000,ug/m3,R
CT3,PM10,17/05/2006 00:00,10.00000,ug/m3,R
CT3,PM10,18/05/2006 00:00,15.00000,ug/m3,R
CT3,PM10,19/05/2006 00:00,6.00000,ug/m3,R
CT3,PM10,20/05/2006 00:00,6.00000,ug/m3,R
CT3,PM10,21/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,22/05/2006 00:00,10.00000,ug/m3,R
CT3,PM10,23/05/2006 00:00,4.00000,ug/m3,R
CT3,PM10,24/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,25/05/2006 00:00,3.00000,ug/m3,R
CT3,PM10,26/05/2006 00:00,8.00000,ug/m3,R
CT3,PM10,27/05/2006 00:00,2.00000,ug/m3,R
CT3,PM10,28/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,29/05/2006 00:00,2.00000,ug/m3,R
CT3,PM10,30/05/2006 00:00,4.00000,ug/m3,R
CT3,PM10,31/05/2006 00:00,6.00000,ug/m3,R
